window size:2
Entropy of window31:0.863121
Entropy of window32:0.863121
Entropy of window33:0.985228
Entropy of window34:0.863121
Entropy of window35:0.985228
Entropy of window36:0.985228
Entropy of window37:0.863121
Entropy of window38:0.985228
Entropy of window39:0.985228
Entropy of window40:0.985228
Entropy of window41:0.985228
Entropy of window42:0.985228
Entropy of window43:0.985228
Entropy of window44:0.863121
window size:8
Entropy of window1:1
Entropy of window2:1
Entropy of window3:0.954434
Entropy of window4:1
Entropy of window5:0.954434
Entropy of window6:1
Entropy of window7:0.954434
Entropy of window8:0.954434
Entropy of window9:0.954434
Entropy of window10:0.811278
Entropy of window11:0.811278
Entropy of window12:0.811278
Entropy of window13:0.954434
Entropy of window14:0.811278
Entropy of window15:0.954434
Entropy of window16:0.954434
Entropy of window17:1
Entropy of window18:0.954434
Entropy of window19:1
Entropy of window20:0.954434
Entropy of window21:1
Entropy of window22:0.954434
Entropy of window23:0.954434
Entropy of window24:0.954434
Entropy of window25:1
Entropy of window26:1
Entropy of window27:1
Entropy of window28:0.954434
Entropy of window29:0.954434
Entropy of window30:0.954434
Entropy of window31:0.811278
Entropy of window32:0.954434
Entropy of window33:0.954434
Entropy of window34:0.954434
Entropy of window35:1
Entropy of window36:0.954434
Entropy of window37:0.954434
Entropy of window38:1
Entropy of window39:0.954434
Entropy of window40:1
Entropy of window41:0.954434
Entropy of window42:1
Entropy of window43:0.954434
window size:9
Entropy of window1:0.991076
Entropy of window2:0.991076
Entropy of window3:0.991076
Entropy of window4:0.991076
Entropy of window5:0.991076
Entropy of window6:0.991076
Entropy of window7:0.918296
Entropy of window8:0.918296
Entropy of window9:0.918296
Entropy of window10:0.918296
Entropy of window11:0.764204
Entropy of window12:0.918296
Entropy of window13:0.918296
Entropy of window14:0.918296
Entropy of window15:0.918296
Entropy of window16:0.991076
Entropy of window17:0.991076
Entropy of window18:0.991076
Entropy of window19:0.991076
Entropy of window20:0.991076
Entropy of window21:0.991076
Entropy of window22:0.918296
Entropy of window23:0.991076
Entropy of window24:0.991076
Entropy of window25:0.991076
Entropy of window26:0.991076
Entropy of window27:0.991076
Entropy of window28:0.918296
Entropy of window29:0.991076
Entropy of window30:0.918296
Entropy of window31:0.918296
Entropy of window32:0.918296
Entropy of window33:0.991076
Entropy of window34:0.991076
Entropy of window35:0.991076
Entropy of window36:0.991076
Entropy of window37:0.991076
Entropy of window38:0.991076
Entropy of window39:0.991076
Entropy of window40:0.991076
Entropy of window41:0.991076
Entropy of window42:0.991076
